include,system,tin,entity_type,entity,npis_cigna,npis_aetna,note,business_names_in_payer_files
Y,Mount Sinai,364901314,,MOUNT SINAI DOCTORS - STATEN ISLAND CANCER,0,1,NPPES: Icahn School of Medicine at Mount Sinai,MOUNT SINAI DOCTORS - STATEN ISLAND CANCER
?,Mount Sinai,273857309,,"SOUTH NASSAU ONCOLOGY, PC",0,1,"name matches, ownership unverified","SOUTH NASSAU ONCOLOGY, PC"
?,Mount Sinai,371860554,,MOUNT SINAI HOME RECOVERY CARE,0,1,"name matches, ownership unverified",MOUNT SINAI HOME RECOVERY CARE
Y,Mount Sinai,454517774,,MT. SINAI FPA URGENT CARE CENTER,0,1,NPPES: Icahn School of Medicine at Mount Sinai,MT. SINAI FPA URGENT CARE CENTER
Y,Mount Sinai,300740333,,MOUNT SINAI MANHATTAN HEART,0,1,NPPES: Mount Sinai School of Medicine,MOUNT SINAI MANHATTAN HEART
Y,Mount Sinai,320421727,,MT SINAI ASSOCIATES IN INTERNAL MEDICINE,0,1,NPPES: Icahn School of Medicine at Mount Sinai,MT SINAI ASSOCIATES IN INTERNAL MEDICINE
?,NYU Langone,113016374,,WINTHROP RADIOLOGY ASSOCIATES PC,35,1,"name matches, ownership unverified",WINTHROP RADIOLOGY ASSOCIATES PC
Y,NYU Langone,111633486,,WINTHROP UNIVERSITY HOSPITAL PA NP SERVICES,30,0,NYU Langone Hospital-Long Island (Winthrop) ER physicians,WINTHROP UNIVERSITY HOSPITAL PA NP SERVICES
Y,NYU Langone,133471315,,NEW YORK UNIVERSITY MEDICAL CENTER PATHO,26,1,NYU Medical Center pathology,NEW YORK UNIVERSITY MEDICAL CENTER PATHO; NYU PATHOLOGY ASSOC
Y,NYU Langone,134024202,,NYU DOWNTOWN FACULTY PRACTICE OPD,25,1,NYU Downtown faculty practice,NYU DOWNTOWN FACULTY PRACTICE OPD; NYU DOWNTOWN-OB/GYN
Y,NYU Langone,462271522,,WINTHROP FIRST CARE MEDICAL SERVICES PC,14,0,NPPES: Winthrop Faculty Medical Affiliates,WINTHROP FIRST CARE MEDICAL SERVICES PC
Y,NYU Langone,134000626,,NYU NUCLEAR CARDIOLOGY ASSOCIATES,11,1,NYU nuclear cardiology,NYU NUCLEAR CARDIOLOGY ASSOCIATES
Y,NYU Langone,133946114,,NEW YORK UNIVERSITY MEDICAL CENTER INTERNAL MEDICINE ASSOCIATES,11,0,NYU Medical Center internal medicine,NEW YORK UNIVERSITY MEDICAL CENTER INTERNAL MEDICINE ASSOCIATES
N,NYU Langone,830558394,,WINTHROP COUNSELING SERVICES,4,0,FL practice,WINTHROP COUNSELING SERVICES
?,NYU Langone,112891904,,WINTHROP PEDIATRIC ASSOCIATES PC,4,0,"name matches, ownership unverified",WINTHROP PEDIATRIC ASSOCIATES PC
N,NYU Langone,465512887,,WINTHROP PHYSICAL THERAPY PS,4,0,WA practice,WINTHROP PHYSICAL THERAPY PS
Y,NYU Langone,133831707,,NYU MEDICAL CENTER RADIOLOGY ASSOCIATES,3,0,NYU Medical Center radiology,NYU MEDICAL CENTER RADIOLOGY ASSOCIATES
?,NYU Langone,113028843,,WINTHROP CARDIOLOGY ASSOCIATES PC,3,0,"name matches, ownership unverified",WINTHROP CARDIOLOGY ASSOCIATES PC
Y,NYU Langone,651173675,,WINTHROP SURGICAL ASSOCIATES PC,3,0,NPPES: Winthrop Faculty Medical Affiliates,WINTHROP SURGICAL ASSOCIATES PC
Y,NYU Langone,205682886,,WINTHROP CHILD NEUROLOGY ASSOCIATES PC,2,1,NPPES: Winthrop Faculty Medical Affiliates,WINTHROP CHILD NEUROLOGY ASSOCIATES PC; WINTHROP FACULTY MEDICAL AFFILIATES UNIVERSITY
Y,NYU Langone,133781532,,NYU MC AGING CENTER ASSOC,2,0,"NYU MC aging center, NY",NYU MC AGING CENTER ASSOC
Y,NYU Langone,133903688,,NYU MEDICAL CENTER FACULTY PRACTICE,2,0,NPPES: NYU Medical Center faculty practice radiology,NYU MEDICAL CENTER FACULTY PRACTICE
N,NYU Langone,923301738,,LANGONE WELLNESS CONSULTING LLC,2,0,"surname, consulting LLC",LANGONE WELLNESS CONSULTING LLC
?,NYU Langone,460617556,,WINTHROP HOSPITALIST ASSOCIATES PC,2,0,"name matches, ownership unverified",WINTHROP HOSPITALIST ASSOCIATES PC
N,NYU Langone,853080331,,WINTHROP EYE CENTER,2,0,MA practice,WINTHROP EYE CENTER
Y,NYU Langone,133954915,,NEW YORK UNIVERSITY MEDICAL CENTER,1,1,NPPES: New York University Medical Center,NEW YORK UNIVERSITY MEDICAL CENTER; NYU TRANSPLANT ASSOCIATES
?,NYU Langone,141882259,,WINTHROP ORTHOPAEDIC ASSOCIATES PC,1,0,"name matches, ownership unverified",WINTHROP ORTHOPAEDIC ASSOCIATES PC
?,NYU Langone,454122895,,WINTHROP INFECTIOUS DISEASE ASC PC,1,0,"name matches, ownership unverified",WINTHROP INFECTIOUS DISEASE ASC PC
N,NYU Langone,113018561,,WINTHROP GASTROENTEROLOGY PC,1,0,AZ practice,WINTHROP GASTROENTEROLOGY PC
Y,NYU Langone,455398689,,WINTHROP NEUROSCIENCE ASSOCIATES,0,2,NPPES: Winthrop Faculty Medical Affiliates,WINTHROP NEUROSCIENCE ASSOCIATES
Y,NYU Langone,113396770,,NYU LANGONE AMBULATORY CARE REGO PARK,0,2,NPPES: New York University; NYU Langone Rego Park,NYU LANGONE AMBULATORY CARE REGO PARK
Y,NYU Langone,112707087,,WINTHROP FACULTY MEDICAL AFFILIATES UNIVERSITY,0,2,NPPES: Winthrop Faculty/Community Medical Affiliates,WINTHROP FACULTY MEDICAL AFFILIATES UNIVERSITY
?,NYU Langone,112378848,,WINTHROP PED NEURO ASSOC,0,1,"name matches, ownership unverified",WINTHROP PED NEURO ASSOC
?,NYU Langone,260448673,,WINTHROP HYPERBARIC WOUND CARE,0,1,"name matches, ownership unverified",WINTHROP HYPERBARIC WOUND CARE
?,NYU Langone,134000632,,NYU WOMEN'S HEALTH,0,1,"name matches, ownership unverified",NYU WOMEN'S HEALTH
Y,NYU Langone,133683168,,NYU CARDIAC REHAB ASSOC.,0,1,NPPES: New York University Medical Center,NYU CARDIAC REHAB ASSOC.
Y,NYU Langone,133644814,,NYU NEONATOLOGY ASSOCIATES,0,1,"NYU neonatology, NY",NYU NEONATOLOGY ASSOCIATES
Y,NYU Langone,133644812,,NYU PEDIATRIC CARDIO,0,1,NPPES: NYUMC pediatric cardiology,NYU PEDIATRIC CARDIO
?,NYU Langone,112239841,,WINTHROP PAIN MANAGEMENT CTR,0,1,"name matches, ownership unverified",WINTHROP PAIN MANAGEMENT CTR
?,NYP,882703979,,COLUMBIA NEW YORK- PRESBYTERIAN ADVANCED IMAGING INC,38,0,"name matches, ownership unverified",COLUMBIA NEW YORK- PRESBYTERIAN ADVANCED IMAGING INC
N,NYP,133908644,,COLUMBIA PRESBYTERIAN EASTSIDE RADIOLOGY GROUP,0,1,"Trustees of Columbia University (ColumbiaDoctors), not NYP",COLUMBIA PRESBYTERIAN EASTSIDE RADIOLOGY GROUP
?,NYP,133908649,,COLUMBIA PRESBYTERIAN PATHOLOGISTS,0,1,"name matches, ownership unverified",COLUMBIA PRESBYTERIAN PATHOLOGISTS
N,NYP,133908643,,COLUMBIA PRESBYTERIAN VASCULAR & INTERVENTIONAL,0,1,"Trustees of Columbia University (ColumbiaDoctors), not NYP",COLUMBIA PRESBYTERIAN VASCULAR & INTERVENTIONAL
N,NYP,160874414,,PRESBYTERIAN HOME FOR CENTRAL NEW YORK INC.,0,1,"nursing home in Utica, unrelated to NYP",PRESBYTERIAN HOME FOR CENTRAL NEW YORK INC.
N,WMC,412055655,,WMC CLINIC,3,0,WY/ND practice,WMC CLINIC
N,WMC,463975914,,WESTCHESTER MEDICAL WELLNESS PLLC,2,0,"independent practice, look-alike name",WESTCHESTER MEDICAL WELLNESS PLLC
N,WMC,832297763,,LOWER WESTCHESTER MEDICAL ASSOCIATES PC,2,0,"independent practice, look-alike name",LOWER WESTCHESTER MEDICAL ASSOCIATES PC
N,WMC,452623089,,ADVANCED SOUTHERN WESTCHESTER MEDICAL PC,2,0,"independent practice, look-alike name",ADVANCED SOUTHERN WESTCHESTER MEDICAL PC
N,WMC,852697229,,SOUTHERN WESTCHESTER MEDICAL PC,1,0,"independent practice, look-alike name",SOUTHERN WESTCHESTER MEDICAL PC
N,WMC,421594137,,WESTCHESTER MEDICAL CENTER INC,1,0,FL entity,WESTCHESTER MEDICAL CENTER INC
N,WMC,133602570,,BRONX WESTCHESTER MEDICAL GROUP PC,0,1,"independent practice, look-alike name",BRONX WESTCHESTER MEDICAL GROUP PC
Y,WMC,465522536,,WESTCHESTER MEDICAL REGIONAL PHYICIAN SERVICES,0,1,Westchester Medical Regional Physician Services = WMCHealth Physicians,WESTCHESTER MEDICAL REGIONAL PHYICIAN SERVICES
N,WMC,202870950,,THE URGENT CARE CENTER AT WESTCHESTER MEDICAL,0,1,"NPPES: Westchester Urgent Care PLLC, independent",THE URGENT CARE CENTER AT WESTCHESTER MEDICAL
?,WMC,132707945,,WESTCHESTER MEDICAL & DENTAL,0,1,"name matches, ownership unverified",WESTCHESTER MEDICAL & DENTAL
?,White Plains,131624211,,WHITE PLAINS HOSPITAL HOME HEALTH AGENCY,0,1,"name matches, ownership unverified",WHITE PLAINS HOSPITAL HOME HEALTH AGENCY
N,Northwell,133425028,,LENOX HILL RADIOLOGY AND MEDICAL IMAGING,84,1,"Lenox Hill Radiology = RadNet, not Northwell",LENOX HILL RADIOLOGY AND MEDICAL IMAGING; LENOX HILL RADIOLOGY AND MEDICAL IMAGING ASSOCIATE
Y,Northwell,113265111,,PECONIC BAY PRIMARY MED CARE PC,80,1,"Peconic Bay primary care, NY","PECONIC BAY PRIMARY MED CARE PC; PECONIC BAY PRIMARY MED CARE, P.C."
?,Northwell,133978108,,LENOX HILL ANESTHESIOLOGY PLLC,62,1,"name matches, ownership unverified",LENOX HILL ANESTHESIOLOGY PLLC; LENOX HILL MED ANES
Y,Northwell,113368503,,HUNTINGTON HOSPITAL DOLAN,52,0,Huntington Hospital Dolan Family Health Center,HUNTINGTON HOSPITAL DOLAN
Y,Northwell,274384249,,NORTH SHORE UNIVERSITY HSP INDEPENDENCE,48,0,North Shore University Hospital Independence,NORTH SHORE UNIVERSITY HSP INDEPENDENCE
Y,Northwell,274384049,,NORTH SHORE-LIJ MED GRP AT HUNTINGTON PC,48,0,NPPES: North Shore-LIJ Medical Group at Huntington,NORTH SHORE-LIJ MED GRP AT HUNTINGTON PC
Y,Northwell,274384146,,NORTH SHORE-LIJ MED GRP AT NRTH NASSAU,45,0,North Shore-LIJ Medical Group at North Nassau,NORTH SHORE-LIJ MED GRP AT NRTH NASSAU
Y,Northwell,850656357,,LENOX HILL FACULTY MEDICAL AFFILIATES UNIVERSITY,20,0,Lenox Hill Faculty Medical Affiliates,LENOX HILL FACULTY MEDICAL AFFILIATES UNIVERSITY
Y,Northwell,465746956,,NORTH SHORE-LIJ PEDIATRICS OF SUFFOLK CO,18,1,NPPES: North Shore-LIJ Pediatrics of Suffolk,"NORTH SHORE-LIJ PEDIATRICS OF SUFFOLK CO; NORTH SHORE-LIJ PEDIATRICS OF SUFFOLK COUNTY, PC"
Y,Northwell,461382916,,NORTH SHORE LIJ OB GYN PC,17,0,North Shore-LIJ OB/GYN,NORTH SHORE LIJ OB GYN PC
Y,Northwell,462886776,,NORTH SHORE LIJ OBGYN GARDEN CITY,12,0,North Shore-LIJ OB/GYN Garden City,NORTH SHORE LIJ OBGYN GARDEN CITY
Y,Northwell,275078531,,NORTH SHORE LIJ,9,1,NPPES: North Shore-LIJ Cardiology at Deer Park,NORTH SHORE LIJ; NORTH SHORE-LIJ MEDICAL GROUP LONG ISLAND
?,Northwell,133644370,,LENOX HILL PATH ASSOC,9,1,"name matches, ownership unverified",LENOX HILL PATH ASSOC; LENOX HILL PATHOLOGY P C
N,Northwell,464036505,,HUNTINGTON HOSPITALIST GROUP INC,9,0,Huntington WV hospitalists,HUNTINGTON HOSPITALIST GROUP INC
Y,Northwell,462822879,,NORTH SHORE-LIJ INTERNAL MEDICINE AT NEW HYDE PARK,8,1,NPPES: North Shore-LIJ Internal Medicine New Hyde Park,NORTH SHORE-LIJ INTERNAL MEDICINE AT NEW HYDE PARK; NORTHSHORE LIJ INTERNAL MED
Y,Northwell,463475908,,NORTH SHORE - LIJ INTERNAL MEDICINE AT LYNBROOK,5,1,NPPES: North Shore-LIJ Internal Medicine Lynbrook,NORTH SHORE - LIJ INTERNAL MEDICINE AT LYNBROOK; NORTH SHORE-LIJ IM AT LYNBROOK PC
?,Northwell,201443100,,LENOX HILL MEDICAL ASSOCIATES PLLC,5,0,"name matches, ownership unverified",LENOX HILL MEDICAL ASSOCIATES PLLC
?,Northwell,271394353,,LENOX HILL TMS PSYCHIATR,4,1,"name matches, ownership unverified",LENOX HILL TMS PSYCHIATR; LENOX HILL TMS PSYCHIATRI ASS
Y,Northwell,474991705,,NORTH SHORE UNIV HSP INDEPENDENCE AT HOM,4,0,North Shore University Hospital Independence at Home,NORTH SHORE UNIV HSP INDEPENDENCE AT HOM
Y,Northwell,471758444,,NORTH SHORE LIJ URGENT CARE PC,3,1,NPPES: North Shore-LIJ Medical Group urgent care,NORTH SHORE LIJ URGENT CARE PC
?,Northwell,133385163,,LENOX HILL CARDIOLOGY ASSOCIATES,2,0,"name matches, ownership unverified",LENOX HILL CARDIOLOGY ASSOCIATES
?,Northwell,821989290,,LENOX HILL SURGEONS LLP,2,0,"name matches, ownership unverified",LENOX HILL SURGEONS LLP
Y,Northwell,274384326,,NORTH SHORE LIJ PHYSICIAN,2,0,North Shore-LIJ physician entity,NORTH SHORE LIJ PHYSICIAN
Y,Northwell,237007485,,NORTH SHORE UNIVERSITY HOSPITAL CENTER FOR,1,1,NPPES: Northwell Health Stern Family Center for Rehabilitation,NORTH SHORE UNIVERSITY HOSPITAL CENTER FOR; NORTH SHORE-LIJ STERN FAMILY CENTER FOR
?,Northwell,812875653,,LENOX HILL PAIN MANAGEMENT AND SPINE,1,1,"name matches, ownership unverified","LENOX HILL PAIN MANAGEMENT AND SPINE; LENOX HILL PAIN MANAGEMENT AND SPINE, PLLC"
?,Northwell,923311309,,MEDICAL SERVICES OF LENOX HILL PC,1,1,"name matches, ownership unverified","MEDICAL SERVICES OF LENOX HILL PC; MEDICAL SERVICES OF LENOX HILL, P.C."
Y,Northwell,275078246,,NORTH SHORE LIJ URGENT CARE PC,1,1,NPPES: North Shore-LIJ Urgent Care,NORTH SHORE LIJ URGENT CARE PC; NORTH SHORE-LIJ MEDICAL GROUP URGENT MED
Y,Northwell,472151802,,PECONIC BAY MEDICAL SERVICES PC,1,0,Peconic Bay Medical Services PC,PECONIC BAY MEDICAL SERVICES PC
Y,Northwell,473722278,,NORTH SHORE LIJ OB-GYN AT NEW HYDE PK PC,1,0,North Shore-LIJ OB/GYN New Hyde Park,NORTH SHORE LIJ OB-GYN AT NEW HYDE PK PC
?,Northwell,133602462,,LENOX HILL EMERGENCY MEDICAL SERVICE,0,1,"name matches, ownership unverified",LENOX HILL EMERGENCY MEDICAL SERVICE
Y,Northwell,134107082,,"STATEN ISLAND UNIVERSITY HOSPITAL PERINATOLOGY, PC",0,1,NPPES: Staten Island University Hospital Perinatology,"STATEN ISLAND UNIVERSITY HOSPITAL PERINATOLOGY, PC"
?,Northwell,200719612,,ADVANCED IMAGING AND RADIOLOGY OF LENOX HILL,0,1,"name matches, ownership unverified",ADVANCED IMAGING AND RADIOLOGY OF LENOX HILL
Y,Northwell,223970667,,"NORTH SHORE-LIJ RADIOLOGY SERVICES, P.C.",0,1,NPPES: North Shore Radiology at Glen Cove,"NORTH SHORE-LIJ RADIOLOGY SERVICES, P.C."
Y,Northwell,273957752,,NORTH SHORE-LIJ MEDICAL GROUP IM,0,1,NPPES: North Shore-LIJ Medical Group at North Nassau,NORTH SHORE-LIJ MEDICAL GROUP IM
N,Northwell,112223066,,LENOX HILL RADIOLOGY,0,1,"Lenox Hill Radiology = RadNet, not Northwell",LENOX HILL RADIOLOGY
N,Northwell,133143253,,LENOX HILL RADIOLOGY AND MEDICAL IMAGING ASSOCIATE,0,1,NPPES: Park West Radiology (RadNet),LENOX HILL RADIOLOGY AND MEDICAL IMAGING ASSOCIATE
?,NYU Langone/Northwell,461617561,,LANGONE DANIEL E,1073,4,"name matches, ownership unverified",LANGONE DANIEL E; NORTH SHORE-LIJ ANESTHESIOLOGY PC; NORTH SHORE-LIJ MEDICAL PC
Y,NYP,562662502,,NEW YORK-PRESBYTERIAN MEDICAL GROUP/HUDSON VALLEY,227,1,NPP Medical Group Hudson Valley / Lawrence Medical Associates (NYP Lawrence),NEW YORK-PRESBYTERIAN MEDICAL GROUP/HUDSON VALLEY; WESTCHESTER MEDICAL PRACTICE PC
Y,NYP,264076297,,NYP MEDICAL GROUP WESTCHESTER OB/GYN,0,2,NYP Medical Group Westchester OB/GYN / Lawrence Medical Associates (NYP Lawrence),NYP MEDICAL GROUP WESTCHESTER OB/GYN; WESTCHESTER MEDICAL CENTER ADVANCED PHYSICIAN
N,Mount Sinai,363305449,,MOUNT SINAI COMMUNITY FOUNDATEION DBA SI,409,0,Sinai Chicago,MOUNT SINAI COMMUNITY FOUNDATEION DBA SI
N,Mount Sinai,223452311,,NEWARK BETH ISRAEL MED CTR,77,0,"Newark Beth Israel (NJ, RWJBarnabas)",NEWARK BETH ISRAEL MED CTR
N,Mount Sinai,361509000,,MOUNT SINAI HOSPITAL,7,0,"Mount Sinai Hospital, Chicago",MOUNT SINAI HOSPITAL
N,Mount Sinai,590624424,,MOUNT SINAI MEDICAL CENTER OF FLORIDA IN,3,0,Mount Sinai Medical Center of Florida,MOUNT SINAI MEDICAL CENTER OF FLORIDA IN
N,Mount Sinai,994559342,,MOUNT SINAI MEDICAL SERVICES OF NEW MEXICO LLC,2,0,Mount Sinai Medical Services of New Mexico,MOUNT SINAI MEDICAL SERVICES OF NEW MEXICO LLC
N,Mount Sinai,061422973,,MOUNT SINAI REHABILTIATION HOSPITAL INC,2,0,"Mount Sinai Rehabilitation Hospital, CT",MOUNT SINAI REHABILTIATION HOSPITAL INC
N,Mount Sinai,825389789,,MOUNT SINAI MEDICAL CENTER OF FLORIDA IN,1,0,Mount Sinai Medical Center of Florida,MOUNT SINAI MEDICAL CENTER OF FLORIDA IN
N,NYU Langone,043548519,,REVERE-WINTHROP PEDIATRICS INC,2,0,Revere-Winthrop Pediatrics (MA),REVERE-WINTHROP PEDIATRICS INC
N,NYU Langone,851185974,,WINTHROP F WHITCOMB MD,1,0,individual,WINTHROP F WHITCOMB MD
N,NYU Langone,043237404,,WINTHROP COMMUNITY HEALTH CENTER,1,0,Winthrop Community Health Center (MA),WINTHROP COMMUNITY HEALTH CENTER
N,NYU Langone,421914058,,RACHEL WINTHROP LLC,1,0,individual,RACHEL WINTHROP LLC
N,NYU Langone,871182510,,WINTHROP CHIROPRACTIC CORPORATION APC,1,0,Winthrop Chiropractic (CA),WINTHROP CHIROPRACTIC CORPORATION APC
N,NYU Langone,680420554,,WINTHROP HALL MD,1,0,individual,WINTHROP HALL MD
N,NYU Langone,133956599,,WINTHROP ZACHARY A,0,3,individual named Winthrop,WINTHROP ZACHARY A
N,NYU Langone,832675429,,LAWSON NICHOLAS WINTHROP,0,3,individual,LAWSON NICHOLAS WINTHROP; MILLS-MALANGONE RICHARD
N,NYU Langone,841856765,,LAWSON NICHOLAS WINTHROP,0,3,individual,LAWSON NICHOLAS WINTHROP; MILLS-MALANGONE RICHARD
N,NYP,850105601,,PRESBYTERIAN HEALTHCARE SERVICES,1732,0,Presbyterian Healthcare Services (NM),PRESBYTERIAN HEALTHCARE SERVICES
N,NYP,250965480,,UPMC PRESBYTERIAN HOSPITAL,359,0,UPMC Presbyterian,UPMC PRESBYTERIAN HOSPITAL
N,NYP,850206810,,PRESBYTERIAN MEDICAL SERVICES INC,227,0,Presbyterian Medical Services (NM),PRESBYTERIAN MEDICAL SERVICES INC
N,NYP,560554230,,THE PRESBYTERIAN HOSPITAL,214,0,Presbyterian Hospital (NC),THE PRESBYTERIAN HOSPITAL
N,NYP,911780102,,RUSH PRESBYTERIAN ST LIKES MEDICAL,45,0,a different Presbyterian,RUSH PRESBYTERIAN ST LIKES MEDICAL
N,NYP,911780163,,RUSH PRESBYTERIAN ST LUKES MEDICAL CENTE,34,0,a different Presbyterian,RUSH PRESBYTERIAN ST LUKES MEDICAL CENTE
N,NYP,566099991,,PRESBYTERIAN PATHOLOGY GRO,27,0,a different Presbyterian,PRESBYTERIAN PATHOLOGY GRO
N,NYP,911780037,,RUSH PRESBYTERIAN ST LUKES MED,17,0,a different Presbyterian,RUSH PRESBYTERIAN ST LUKES MED
N,NYP,232723154,,PRESBYTERIAN MULTI-SPECIALTY GROUP PRACT,17,0,a different Presbyterian,PRESBYTERIAN MULTI-SPECIALTY GROUP PRACT
N,NYP,850373591,,PRESBYTERIAN EAR INSTITUTE,15,0,a different Presbyterian,PRESBYTERIAN EAR INSTITUTE
N,NYP,592750846,,PRESBYTERIAN COUNSELING CENTER,13,0,a different Presbyterian,PRESBYTERIAN COUNSELING CENTER
N,NYP,912022072,,RUSH PRESBYTERIAN ST LUKES HOSPITAL,12,0,a different Presbyterian,RUSH PRESBYTERIAN ST LUKES HOSPITAL
N,NYP,912020017,,RUSH-PRESBYTERIAN ST LUKES MEDICAL CTR,12,0,a different Presbyterian,RUSH-PRESBYTERIAN ST LUKES MEDICAL CTR
N,NYP,912020018,,RUSH PRESBYTERIAN ST LUKES MEDICAL CTR,12,0,a different Presbyterian,RUSH PRESBYTERIAN ST LUKES MEDICAL CTR
N,NYP,561061160,,PRESBYTERIAN SAMARITAN COUNSELINGCENTER,10,0,a different Presbyterian,PRESBYTERIAN SAMARITAN COUNSELINGCENTER
N,NYP,561129842,,PRESBYTERIAN COUNSELING CTR,10,0,a different Presbyterian,PRESBYTERIAN COUNSELING CTR
N,NYP,912135545,,RUSH PRESBYTERIAN ST LUKES MEDICAL CENTE,10,0,a different Presbyterian,RUSH PRESBYTERIAN ST LUKES MEDICAL CENTE
N,NYP,911779986,,RUSH-PRESBYTERIAN ST LUKES MEDICAL CNTR,9,0,a different Presbyterian,RUSH-PRESBYTERIAN ST LUKES MEDICAL CNTR
N,NYP,432075459,,PRESBYTERIAN HOSPITAL OF DALLAS,8,0,a different Presbyterian,PRESBYTERIAN HOSPITAL OF DALLAS
N,NYP,911780068,,RUSH PRESBYTERIAN ST LUKES S MED CENTER,7,0,a different Presbyterian,RUSH PRESBYTERIAN ST LUKES S MED CENTER
N,NYP,911331528,,PRESBYTERIAN COUNSELING SVC,6,0,a different Presbyterian,PRESBYTERIAN COUNSELING SVC
N,NYP,911268538,,PRESBYTERIAN COUNSELING SERV,6,0,a different Presbyterian,PRESBYTERIAN COUNSELING SERV
N,NYP,750818172,,PRESBYTERIAN CHILDRENS HOME AND SERVICES,6,0,a different Presbyterian,PRESBYTERIAN CHILDRENS HOME AND SERVICES
N,NYP,752770738,,TEXAS HEALTH PRESBYTERIAN HOSPITAL PLANO,6,0,a different Presbyterian,TEXAS HEALTH PRESBYTERIAN HOSPITAL PLANO
N,NYP,232941518,,PRESBYTERIAN HOMES INC,5,0,a different Presbyterian,PRESBYTERIAN HOMES INC
N,NYP,590931267,,PRESBYTERIAN RETIREMENT COMMUNITIES INC,4,0,a different Presbyterian,PRESBYTERIAN RETIREMENT COMMUNITIES INC
N,NYP,951643327,,HOAG MEMORIAL HOSPITAL PRESBYTERIAN,3,0,a different Presbyterian,HOAG MEMORIAL HOSPITAL PRESBYTERIAN
N,NYP,620698709,,PRESBYTERIAN HOMES OF TENNESSEE,3,0,a different Presbyterian,PRESBYTERIAN HOMES OF TENNESSEE
N,NYP,562193249,,PRESBYTERIAN REGIONAL HEALTHCARE CORP,3,0,a different Presbyterian,PRESBYTERIAN REGIONAL HEALTHCARE CORP
N,NYP,721568954,,PRESBYTERIAN IMAGING CENTERS LLC,3,0,a different Presbyterian,PRESBYTERIAN IMAGING CENTERS LLC
N,NYP,751047527,,TX HLTH PRESBYTERIAN HOSPITAL DALLAS,3,0,a different Presbyterian,TX HLTH PRESBYTERIAN HOSPITAL DALLAS
N,NYP,562217545,,PRESBYTERIAN WOMENS CARE CORP,2,0,a different Presbyterian,PRESBYTERIAN WOMENS CARE CORP
N,NYP,260069792,,PRESBYTERIAN BREAST CENTER LLC,2,0,a different Presbyterian,PRESBYTERIAN BREAST CENTER LLC
N,NYP,560564344,,THE PRESBYTERIAN HOME INC,2,0,a different Presbyterian,THE PRESBYTERIAN HOME INC
N,NYP,561376368,,PRESBYTERIAN HOSPITAL,2,0,a different Presbyterian,PRESBYTERIAN HOSPITAL
N,NYP,231352512,,PRESBYTERIAN HOMES IN THE PRESBYERY OF H,2,0,a different Presbyterian,PRESBYTERIAN HOMES IN THE PRESBYERY OF H
N,NYP,562090263,,PRESBYTERIAN ORTHOPAEDIC HOSPITAL LLC,2,0,a different Presbyterian,PRESBYTERIAN ORTHOPAEDIC HOSPITAL LLC
N,NYP,751094140,,GRACE PRESBYTERIAN MINISTRIES INC,2,0,a different Presbyterian,GRACE PRESBYTERIAN MINISTRIES INC
N,NYP,752890358,,PRESBYTERIAN HOSP OF ALLE,2,0,a different Presbyterian,PRESBYTERIAN HOSP OF ALLE
N,NYP,251729925,,REDSTONE PRESBYTERIAN SENIOR,1,0,a different Presbyterian,REDSTONE PRESBYTERIAN SENIOR
N,NYP,710419191,,VERA LLOYD PRESBYTERIAN FAMILY SERVICES,1,0,a different Presbyterian,VERA LLOYD PRESBYTERIAN FAMILY SERVICES
N,NYP,251413291,,THE PRESBYTERIAN MEDICAL CENTER OF WASHINGTON PENNSYLVANIA INC,1,0,a different Presbyterian,THE PRESBYTERIAN MEDICAL CENTER OF WASHINGTON PENNSYLVANIA INC
N,NYP,250974327,,REFORMED PRESBYTERIAN WOMANS ASSN,1,0,a different Presbyterian,REFORMED PRESBYTERIAN WOMANS ASSN
N,NYP,842748057,,PRESBYTERIAN HOSPITAL ASC,1,0,a different Presbyterian,PRESBYTERIAN HOSPITAL ASC
N,NYP,251469798,,WILLOWS OF PRESBYTERIAN SR CARE,1,0,a different Presbyterian,WILLOWS OF PRESBYTERIAN SR CARE
N,NYP,362167074,,THE COUNSELING CENTE FIRST PRESBYTERIAN,1,0,a different Presbyterian,THE COUNSELING CENTE FIRST PRESBYTERIAN
N,NYP,203135052,,PRESBYTERIAN SAMEDAY SURGERY CENTER LL,1,0,a different Presbyterian,PRESBYTERIAN SAMEDAY SURGERY CENTER LL
N,NYP,510190369,,PRESBYTERIAN VILLAGE NORTH,1,0,a different Presbyterian,PRESBYTERIAN VILLAGE NORTH
N,NYP,590624394,,FIRST PRESBYTERIAN CHURCH OF ORLANDO INC,1,0,a different Presbyterian,FIRST PRESBYTERIAN CHURCH OF ORLANDO INC
N,NYP,861495452,,PRESBYTERIAN RUST MEDICAL CENTER AS,1,0,a different Presbyterian,PRESBYTERIAN RUST MEDICAL CENTER AS
N,NYP,202004162,,KING FARM PRESBYTERIAN RETIREMENT COMM,1,0,a different Presbyterian,KING FARM PRESBYTERIAN RETIREMENT COMM
N,NYP,262673205,,FREE GRACE PRESBYTERIAN CHURCH INC,1,0,a different Presbyterian,FREE GRACE PRESBYTERIAN CHURCH INC
N,NYP,262422926,,PRESBYTERIAN SAMEDAY SURGERY CENTER AT,1,0,a different Presbyterian,PRESBYTERIAN SAMEDAY SURGERY CENTER AT
N,NYP,952413054,,FOOTHILL PRESBYTERIAN HOSPITAL,1,0,a different Presbyterian,FOOTHILL PRESBYTERIAN HOSPITAL
